P00734	['凝血酶原', '3.4.21.5', '凝血因子II']
Q8WX39	['附睾特异性脂蛋白-9', '类MUP脂质卡林']
Q13526	['PPIase Pin1', '肽基脯氨酰顺反异构酶Pin1', '5.2.1.8', '转氨酶Pin1', '肽基脯氨酰顺反异构酶NIMA相互作用1']
Q26966	['反式唾液酸酶']
P63185	['v-Src', 'p60 Src', '2.7.10.2', '酪氨酸蛋白激酶转化蛋白Src', 'pp60v src']
P67910	['阿格梅', '5.1.3.20', 'htrM', 'rfaD', 'ADP-L-甘油-D-甘露基庚糖-6-差向异构酶', 'ADP甘油甘露醇庚糖6-差向异构酶', '瓦德', 'ADP-L-甘油-β-D-甘露基庚糖-6-差向异构酶', 'ADP-hep 6-差向异构酶']
P45510	['甘油激酶', '二羟基丙酮激酶', 'DHA激酶', '2.7.1.29']
Q16613	['2.3.1.87', '芳胺N-乙酰转移酶', '陷阱', 'AA-NAT', '5-羟色胺N-乙酰转移酶', '5-羟色胺乙酰化酶']
P56740	["7,8-二氢新蝶呤2'-差向异构酶", '二氢新喋呤醛缩酶', '二氢新喋呤差异构酶', '7,8-二氢新喋呤醛缩酶', '4.1.2.25', '7,8-二氢新喋呤差向异构酶', 'DHNA']
P62258	['14-3-3蛋白质ε', '14-3-3E']
P53779	['应激激活蛋白激酶1b', 'SAPK1B', 'MAP激酶10', 'MAP激酶p49 3F12', 'c-Jun N-末端激酶3', '丝裂原活化蛋白激酶10', 'JNK3', '应激激活蛋白激酶JNK3', 'PRKM10', 'JNK3A', '2.7.11.24']
Q9UQF2	['IB-1', '丝裂原活化蛋白激酶8-相互作用蛋白1', '胰岛脑1', 'C-Jun-氨基末端激酶相互作用蛋白1', 'JIP1', 'JNK MAP激酶支架蛋白1', 'JIP-1', 'IB1', 'PRKM8IP']
P33981	['2.7.12.1', '磷酸酪氨酸苏氨酸蛋白激酶', 'MPS1L1', '双特异性蛋白激酶TTK', '派特', 'MPS1']
P0A6I3	['泛酸激酶', 'rts', '泛酸激酶', '潘克', 'Rts蛋白', '2.7.1.33']
Q13907	['5.3.3.2', 'IPP异构酶1', '异戊烯基焦磷酸异构酶1', 'IPPI1', '异戊烯基二磷酸δ异构酶1']
P62623	['1.17.1.2', '4-羟基-3-甲基-2-苯基二磷酸还原酶', '雅艾', 'lytB']
P43133	['中性蛋白酶', '3.4.24.27', 'nprM', '溶热素']
P39594	['TP合成酶', '蒂克', '硫胺磷酸合酶', '磷酸硫胺焦磷酸化酶', 'TMP焦磷酸化酶', '2.5.1.3', 'ywbK', 'TMP酶']
P10644	['cAMP依赖性蛋白激酶I型α调节亚单位', 'PRKAR1', '组织特异性灭火器1', 'PKR1', 'TSE1']
P00587	['白喉毒素', 'DT', 'NAD（+）--二甲酰胺ADP核糖转移酶']
Q9L9D7	['可卡因酯酶', '3.1.1.84']
P30012	['喹啉酸磷酸核糖转移酶[脱羧]', '卡普酶', '烟酸核苷酸焦磷酸化酶[羧化]', '2.4.2.19']
P9WJJ7	['喹啉酸磷酸核糖转移酶[脱羧]', '卡普酶', '烟酸核苷酸焦磷酸化酶[羧化]', '2.4.2.19']
Q46822	['5.3.3.2', 'IPP:DMAPP异构酶', '异戊烯基焦磷酸异构酶', '异构酶', 'ygfV', '异戊烯基二磷酸δ异构酶']
P15273	['酪氨酸蛋白磷酸酶', '毒力蛋白', 'yop51', '3.1.3.48']
P15289	['芳基硫酸酯酶A', '阿萨', '3.1.6.8', '脑苷硫酸酯酶']
A0A0H3JWX6	['NPQTN特异性排序酶B']
P07478	['丝氨酸蛋白酶2', '胰蛋白酶II', '胰蛋白酶2', '阴离子胰蛋白酶原', '胰蛋白酶-2', 'TRY2', '3.4.21.4']
P00782	['枯草杆菌素Novo', '3.4.21.62', '枯草杆菌素DFE', '枯草杆菌素', '碱性蛋白酶']
Q54528	['3.1.1.95', '阿克拉霉素甲基酯酶']
P08692	['砷酸还原酶', '砷泵改进剂', '1.20.4.1']
P08631	['造血细胞激酶', 'p59 HCK\\/p60 HCK', '2.7.10.2', '酪氨酸蛋白激酶', 'p59Hck', '造血细胞激酶', 'p61Hck']
P25779	['主要半胱氨酸蛋白酶', '克鲁扎因', '克鲁兹痛', '3.4.22.51']
Q9UBX1	['组织蛋白酶F', '3.4.22.41', 'CATSF']
P02788	['Talalactoferrin', '如果', '3.4.21.-', '乳转铁蛋白', '生长抑制蛋白12', 'GIG12', '乳铁蛋白']
O14792	['h3-OST-1', '硫酸乙酰肝素D-氨基葡萄糖基3-O-磺基转移酶1', '3OST', '3-OST-1', '2.8.2.23', '3OST1', '硫酸乙酰肝素3-O-磺基转移酶1', '硫酸乙酰肝素氨基葡萄糖3-O-磺基转移酶1']
O00204	['羟基类固醇硫转移酶2', '醇硫转移酶', 'HSST2', '2.8.2.2', 'ST2B1', '硫转移酶家族胞质2B成员1']
P10153	['嗜酸性粒细胞源性神经毒素', '非分泌性核糖核酸酶', '核糖核酸酶UpI-2', '核糖核酸酶2', '埃德恩', '3.1.27.5', 'RNS2', '核糖核酸酶', '核糖核酸酶2']
P50225	['Ts PST', '苯酚硫酸化苯酚硫转移酶1', '2.8.2.1', 'HAST1\\/HAST2', 'STP', '硫转移酶1A1', 'P-PST 1', '耐热苯酚硫转移酶', 'ST1A1', 'ST1A3', '苯酚硫转移酶1', 'STP1', '芳基硫转移酶1']
Q9Y663	['3OST3A1', '硫酸乙酰肝素D-氨基葡萄糖基3-O-磺基转移酶3A1', '2.8.2.30', '3-OST-3A', 'HS3ST3A', '硫酸乙酰肝素3-O-磺基转移酶3A1', 'h3-OST-3A', '硫酸乙酰肝素氨基葡萄糖3-O-磺基转移酶3A1']
Q06520	['羟类固醇硫转移酶', '胆盐硫转移酶', 'DHEA-ST', 'ST2A1', 'ST2A3', '2.8.2.14', 'ST2', 'HST', '硫转移酶2A1', '性病科', '脱氢表雄酮硫转移酶']
P52848	['双功能硫酸乙酰肝素N-脱乙酰酶\\/N-磺基转移酶1', 'N-硫酸乙酰肝素硫转移酶1', 'NDST-1', '氨基葡萄糖N-脱乙酰酶\\/N-磺基转移酶1', '2.8.2.8', 'HSST', 'N-HSST 1', '[硫酸乙酰肝素]-氨基葡萄糖N-磺基转移酶1', 'HSNST 1', 'HSST1']
P0A2W7	["4'-磷酸泛乙烯基转移酶", 'Holo-[酰基载体蛋白]合酶', 'Holo-ACP合酶', '2.7.8.7']
O43704	['甲状腺激素硫转移酶', 'SULT1B2', 'ST1B2', '硫转移酶1B2', '硫转移酶家族胞浆1B成员1', '2.8.2.-', 'ST1B1']
P0AB80	['BCAT', '2.6.1.42', '转氨酶B', '支链氨基酸转氨酶']
P06986	['组氨酸磷酸转氨酶', '咪唑乙酰磷酸转氨酶', '希帕特', '2.6.1.9', 'HPAT']
P06971	['托娜', '铁色素铁受体', '羟肟酸铁受体', '羟肟酸铁摄取']
P0A872	['2.2.1.2', '转醛醇酶B']
P29717	['Exo-1,3-β-葡聚糖酶', 'EXG1', '2.4.1.-', 'XOG', 'EXG', '葡聚糖1,3-β-葡萄糖苷酶']
P00805	['3.5.1.1', 'L-ASNase II', 'L-天冬酰胺氨基水解酶II', 'L-天冬酰胺酶2', 'L-天冬酰胺酶II']
P11226	['甘露糖结合蛋白C', '甘露聚糖结合蛋白', 'MBP-C', 'MBL', '甘露糖结合凝集素', '科尔1', 'MBP1', 'Collectin-1']
P0AB91	['3-脱氧-D-阿拉伯七叶酸7-磷酸合酶', 'DAHP合酶', '磷酸-2-脱氢-3-脱氧庚酸醛缩酶，对苯丙氨酸敏感', '2.5.1.54', '磷酸-2-酮-3-脱氧庚酸醛缩酶']
P0A716	['2.5.1.55', '3-脱氧-D-甘露基辛酮酸8-磷酸合酶', 'KDOPS', 'KDO 8-P合酶', '2-脱氢-3-脱氧磷辛酸醛缩酶', '磷酸-2-脱氢-3-脱氧葡萄糖醛缩酶', 'KDO-8-磷酸合酶']
Q57265	['siaC', 'spsE', '孢子衣多糖生物合成蛋白spsE', '胶囊生物合成蛋白']
P35558	['PEPCK1', 'PEPCK-C', '4.1.1.32', '磷酸烯醇式丙酮酸羧激酶，胞浆[GTP]']
Q9WYH8	['磷酸-2-脱氢-3-脱氧庚酸醛缩酶', '3-脱氧-D-阿拉伯七叶酸7-磷酸合酶', 'DAHP合酶', '2.5.1.54', '磷酸-2-酮-3-脱氧庚酸醛缩酶']
P28720	['奎因-tRNA核糖基转移酶', '2.4.2.29', 'tRNA鸟嘌呤转糖苷酶', '鸟嘌呤插入酶']
P00147	["细胞色素c'"]
P9WN25	['截断血红蛋白', '第1组截断血红蛋白GlbN', '血红蛋白样蛋白']
P17931	['半乳糖凝集素-3', '美国海关与边境保护局35', 'Gal-3', '35kDa凝集素', '碳水化合物结合蛋白35', '半乳糖苷结合蛋白', '凝集素L-29', 'Mac-2抗原', 'L-31', '加尔布', 'IgE结合蛋白', 'MAC2', '层粘连蛋白结合蛋白', '半乳糖特异性凝集素3']
P69681	['氨通道', '氨运输机', 'ybaG']
P26841	['氯霉素乙酰转移酶', 'catB7', '异源乙酰转移酶', 'XAT', '2.3.1.28']
Q8GEZ8	['甘油脱水酶', 'B12非依赖性甘油脱水酶']
Q9NPH2	['日野1', 'IPS 1', '肌醇1-磷酸合酶', 'MIP合酶', '肌醇1-磷酸合酶A1', 'MI-1-P合酶', 'INO1', '臀部', '5.5.1.4', '肌醇-3-磷酸合酶1']
Q60053	['新普鲁兰酶1', 'TVA I', 'α-淀粉酶I', '3.2.1.135']
P05618	['环糊精糖基转移酶', '环糊精葡萄糖基转移酶', '环麦芽糊精葡聚糖转移酶', '2.4.1.19']
P19571	['葡聚糖1,4-α-麦芽六糖苷酶', 'G6淀粉酶', '产麦芽六糖淀粉酶', '外麦芽六氢酶', '3.2.1.98']
P00691	['3.2.1.1', 'α淀粉酶', 'α-D-羟基葡聚糖酶', '阿米亚']
P9WQG9	['AAC（2’）-Ic', '2.3.1.-', "氨基糖苷2'-N-乙酰转移酶"]
Q9UNI1	['胰弹性蛋白酶1', '糜蛋白酶样弹性蛋白酶家族成员1', 'ELA1', '3.4.21.36', '弹性蛋白酶-1']
O06644	['甲酰辅酶A转移酶', '甲酰辅酶A：草酸盐辅酶A转移酶', 'FCOCT', '2.8.3.16']
P10802	['丙酮酸脱氢酶复合物的二氢脂酰胺乙酰转移酶组分', '丙酮酸脱氢酶复合物的二氢脂酰赖氨酸残基乙酰转移酶组分', 'E2', '2.3.1.12']
P60327	['D-N-α-氨基同化酶', 'N-氨甲酰-D-氨基酸水解酶', '3.5.1.77']
P0A334	['skc1', '青链霉菌K+通道', 'pH门控钾通道']
P01834	['Igκ链C区']
Q6NUS8	['UDPGT 3A1', 'UDP葡萄糖醛酸转移酶3A1', '2.4.1.17']
P11741	['细菌叶绿素a蛋白', 'BCP']
Q46393	['细菌叶绿素a蛋白', 'FMO蛋白', '芬娜·马修斯·奥尔森蛋白质', 'BCP']
P52961	['第1条', '单（ADP核糖）转移酶1', 'ADP核糖转移酶C2和C3毒素样1', 'GPI连接的NAD（P）（+）——精氨酸ADP核糖转移酶1', '2.4.2.31']
P56220	['四氢吡啶甲酸丁二酰化酶', '2,3,4,5-四氢吡啶-2,6-二羧酸N-琥珀酰转移酶', '四氢二吡啶酸N-琥珀酰转移酶', 'THP琥珀酰转移酶', '2.3.1.117', 'THDP琥珀酰转移酶']
P71447	['5.4.2.6', 'β-前列腺素M', 'β磷酸葡萄糖变位酶']
P41789	['氮调节蛋白NR（I）', 'ntrC']
P43235	['3.4.22.38', '组织蛋白酶X', '组织蛋白酶K', 'CTSO', '组织蛋白酶O', 'CTSO2', '组织蛋白酶O2']
P62619	['2-C-甲基-D-赤藓糖醇2,4-环二磷酸合酶', 'MECDP合酶', '4.6.1.12']
P51003	['多核苷酸腺苷酸转移酶α', '爸爸', '聚（A）聚合酶α', '巴氏阿尔法', '2.7.7.19']
Q8KN66	['WbpP']
P46976	['糖原-1', '吉格', '2.4.1.186', 'GN-1']
P31677	['UDP葡萄糖磷酸葡萄糖基转移酶', 'α，α-海藻糖磷酸合酶[UDP形成]', '渗透调节海藻糖合成蛋白A', '2.4.1.15', '海藻糖-6-磷酸合酶']
P09148	['高尔布', 'Gal-1-P尿苷酸转移酶', 'UDP葡萄糖——己糖-1-磷酸尿苷转移酶', '半乳糖-1-磷酸尿苷酸转移酶', '2.7.7.12']
Q14376	['UDP-GlcNAc 4-差向异构酶', '5.1.3.2', 'UDP-N-乙酰氨基半乳糖4-差异构酶', 'UDP-N-乙酰氨基葡萄糖4-差向异构酶', 'UDP GalNAc 4-差向异构酶', 'UDP半乳糖4-差向异构酶', 'UDP葡萄糖4-差向异构酶', '半乳糖苷酶']
P26393	['葡萄糖合成酶', 'rfbA', '葡萄糖-1-磷酸胸苷酰基转移酶', 'Ep', '2.7.7.24', '葡萄糖焦磷酸化酶']
P09147	['高尔德', '5.1.3.2', 'UDP半乳糖4-差向异构酶', 'UDP葡萄糖4-差向异构酶', '半乳糖苷酶']
P04547	['DNAβ葡萄糖基转移酶', '2.4.1.27', 'BGT']
Q7Z4J2	['含糖基转移酶6结构域的蛋白质1', 'GLTDC1', '2.4.1.-', '半乳糖基转移酶家族6结构域包含1', 'GT6M7']
P00722	['β-半乳糖', 'β-半乳糖苷酶', '乳糖酶', '3.2.1.23']
P07464	['盖特', '2.3.1.18', '硫代半乳糖苷乙酰转移酶', '半乳糖苷O-乙酰转移酶']
P03023	['乳糖操纵子阻遏子']
Q9H4M7	['包含家族A成员4的PH域', '包含A家族成员4的Pleckstrin同源结构域', '磷酸肌醇3-磷酸结合蛋白1', 'PEPP-1', 'PEPP1']
Q9UN19	['hDAPP1', 'B淋巴细胞结合蛋白Bam32', '磷酸酪氨酸、3-磷酸酪氨酸和3-磷酸肌醇的双转接器', 'BAM32', '32kDa的B细胞适配器分子']
P23677	['肌醇1,4,5-三磷酸3-激酶A', 'IP3-激酶A', '三磷酸肌醇3-激酶A', '督察3-激酶A', '2.7.1.127', 'IP3K A']
Q99418	['细胞粘附素-2', 'PSCD2L', '阿诺', 'ARF交换因子', 'ARF核苷酸结合位点开放剂', '阿诺蛋白', 'PSCD2', 'PH、SEC7和含有蛋白质2的螺旋结构域']
O43739	['肌醇磷脂1的总受体', '阿诺3', '蛋白质ARNO3', 'ARF核苷酸结合位点开放子3', 'PH、SEC7和包含蛋白质3的螺旋结构域', 'PSCD3', '细胞粘附素-3', 'GRP1']
P62330	['ADP核糖基化因子6']
Q08188	['蛋白质谷氨酰胺γ谷氨酰转移酶E', '谷氨酰胺转胺酶', '谷氨酰胺转胺酶-3', '酶E', '2.3.2.13', 'TGE', 'TG（E）', 'TGase-3']
P9WN95	['细胞分裂蛋白FtsZ']
P62491	['YL8', 'Rab-11', 'RAB11', 'Ras相关蛋白Rab-11A']
P19961	['3.2.1.1', 'α-淀粉酶2B', '类癌α淀粉酶', '1,4-α-D-葡聚糖葡聚糖水解酶2B']
P84141	['软骨素裂解酶', '软骨素酶（软骨素裂解酶）']
Q46079	['软骨素B裂解酶', '硫酸软骨素B裂解酶', '软骨素酶-B', '4.2.2.19', '软骨素B脱氨酶']
Q59288	['中国', '软骨素酶AC', '硫酸软骨素裂解酶', '软骨素AC酶', '软骨素AC裂解酶', '4.2.2.5']
Q13748	['α-微管蛋白3C\\/D', '微管蛋白α-3C\\/D链', '微管蛋白α-2链', '大号2', 'α-微管蛋白2']
P04350	['微管蛋白β-4链', '微管蛋白5β', '微管蛋白β-4A链', 'TUBB4', 'TUBB5']
Q13509	['微管蛋白β-3链', 'TUBB4', '微管蛋白β-4链', '微管蛋白βIII']
Q9BQE3	['大号6', '微管蛋白α-6链', '微管蛋白α-1C链', 'α-微管蛋白6']
Q9NY65	['微管蛋白α-8链', '微管蛋白α链样2', 'α-微管蛋白8', '输卵管2']
P68363	['微管蛋白K-α-1', '微管蛋白α链', '微管蛋白α-1B链', 'α-微管蛋白']
Q45697	['尿酸降解双功能蛋白', '4.1.1.97', 'OHCU脱羧酶']
P33038	['默兹', '2.5.1.7', 'EPT', 'UDP-N-乙酰氨基葡萄糖烯醇丙酮酸转移酶', '烯醇丙酮酸转移酶', 'UDP-N-乙酰氨基葡萄糖1-羧乙烯基转移酶']
P16113	['PYP', '光活性黄蛋白']
Q3IWB0	['酪氨酸解氨酶', '4.3.1.23']
P14174	['苯丙酮酸互变异构酶', '巨噬细胞移动抑制因子', '糖基化抑制因子', 'GIF', 'MMIF', '油嘴滑舌', '5.3.2.1', '左旋多巴胺互变异构酶', 'MIF', '左旋多巴色素异构酶']
P0A079	['3.4.11.18', '肽酶M', '地图', '蛋氨酸氨基肽酶']
P0A078	['3.4.11.18', '肽酶M', '地图', '蛋氨酸氨基肽酶']
P15917	['3.4.24.83', '炭疽致死毒素内肽酶组分', '如果', '致命因素']
P12499	['Gag-Pol多蛋白', 'Pr160Gag Pol']
P24941	['细胞周期蛋白依赖激酶2', '2.7.11.22', '细胞分裂蛋白激酶2', 'CDKN2', 'p33蛋白激酶']
P05019	['IGF-I', 'IBP1', '生长抑素C', '胰岛素样生长因子I', 'MGF', '机械生长因子']
P16088	['RT', '2.7.7.49', 'Pol多蛋白']
P36419	['天冬氨酰-tRNA合成酶', 'ASPR', 'D-ASPR', '天冬氨酸-tRNA（Asp）连接酶', '天冬氨酰-tRNA合成酶的鉴别', '6.1.1.12']
P08877	['磷酸载体蛋白', '含组氨酸蛋白质', '2.7.11.-']
P46459	['3.6.4.6', 'NEM敏感融合蛋白', '囊泡融合ATP酶', 'N-乙基马来酰亚胺敏感融合蛋白', '囊泡融合蛋白NSF']
Q86YB8	['ERO1-L-β', 'ERO1LB', '1.8.4.-', '内质网氧化还原酶β', '氧化还原素-1-L-β', '内质网氧化还原素-1样蛋白B', '类ERO1蛋白β']
Q9WYT0	['thy1', '2.1.1.148', '胸苷酸合成酶', 'TS']
P32396	['赫姆夫', '血红素合酶', '4.99.1.1', '铁螯合酶', '原血红素裂铁酶']
P06653	['粘肽氨基水解酶', '细胞壁水解酶', '3.5.1.28', '自溶素', 'N-乙酰壁酰-L-丙氨酸酰胺酶', 'Murein水解酶']
Q46730	['截断转座酶', '转座']
P00282	['蓝精灵', '天青素前体']
Q9BWD1	['2.3.1.9', '胞浆乙酰辅酶A硫酶', '细胞溶质乙酰辅酶A乙酰转移酶', '乙酰辅酶A转移酶样蛋白', 'ACTL']
P02689	['髓鞘P2蛋白', '外周髓鞘蛋白2']
P07097	['2.3.1.9', '乙酰辅酶A乙酰转移酶', '乙酰辅酶A硫酶']
P31133	['腐胺结合周质蛋白前体', '腐胺结合周质蛋白']
P40859	['单体肌氨酸氧化酶', '1.5.3.1', 'MSOX', '袜队']
P17612	['蛋白激酶C-α', '2.7.11.11', '普卡卡', 'cAMP依赖性蛋白激酶催化亚单位α']
P07986	['xynB', '外葡聚糖酶\\/木聚糖酶']
P47228	['2,3-二羟基联苯双加氧酶', '1.13.11.39', 'DHBD', '联苯-2,3-二醇1,2-双加氧酶', '23OHBP加氧酶']
P22906	['1.5.1.3', '二氢叶酸还原酶']
Q86XF0	['二氢叶酸还原酶样蛋白1', '线粒体二氢叶酸还原酶', 'DHFRP4', '1.5.1.3']
P9WIL5	['6.3.2.1', '泛酸合成酶', '泛酸激活酶', '附言', '泛酸--β-丙氨酸连接酶']
P00803	['先导肽酶I', '3.4.21.89', '信号肽酶I', '斯帕塞一号']
P00800	['3.4.24.27', '耐热中性蛋白酶', '溶热素']
P0A9J6	['核糖激酶', '2.7.1.15']
P05798	['核糖核酸酶Sa', '鸟苷酰特异性核糖核酸酶Sa', '3.1.27.3']
P10943	['Hut操纵子阳性调节蛋白']
P0A7E1	['二氢乳清酸脱氢酶（醌）', '多达斯', '二氢乳清酸氧化酶', '多相', '1.3.5.2', 'DHOD']
Q60099	['3.8.1.2', '卤代羧酸卤代水解酶', '2-卤代烷酸脱卤酶', '（S） -2-卤代酸脱卤酶', 'L-2-卤代酸脱卤酶']
P0A1V8	['青霉素酶', '3.5.2.6', 'β-内酰胺酶OXA-2', 'oxa2']
P42321	['1.11.1.6', '过氧化氢酶']
O07347	['54同系物', '信号识别颗粒蛋白']
P22629	['链霉亲和素', '链霉亲和素前体']
P0A733	['甲基乙二醛合酶', '4.2.3.3', 'MGS']
Q13363	['C末端结合蛋白1', 'CTBP', 'CtBP1', '1.1.1.-']
Q9X0N8	['6-磷酸葡萄糖酸内酯酶', 'devB', '6PGL', '3.1.1.31']
P9WPE1	['柠檬酸裂解酶亚单位β样蛋白', '4.1.-.-']
O14936	['蛋白质lin-2同系物', 'hCASK', 'LIN2', '2.7.11.1', '外周质膜蛋白桶', '钙\\/钙调素依赖性丝氨酸蛋白激酶']
P9WKE9	['鸟苷酸激酶', 'GMP激酶', '2.7.4.8']
Q9X278	['支链羧酸激酶2', '2.7.2.7', '可能丁酸激酶2', 'BK 2']
Q9BVM4	['含AIG2样结构域的蛋白质1', 'γ-谷氨酰胺环转移酶', '2.3.2.4', 'GGACT', 'γ-谷氨酰胺环转移酶', 'A2LD1']
P20472	['小白蛋白α']
P14621	['酰基磷酸酶-2', 'ACYP', '3.6.1.7', '酰基磷酸酯磷酸水解酶2', '酰基磷酸酶，肌肉型同工酶']
Q81C15	['非特征蛋白质']
P80357	['精氨酸N-琥珀酰转移酶亚单位α', '阿斯特', '2.3.1.109', '阿鲁艾', '阿鲁夫', 'AOST']
P39841	['推测的甘露糖-6-磷酸异构酶YvyI', '磷酸己糖突变酶', 'pmi', '磷酸甘露糖异构酶', '5.3.1.8']
Q9X0V0	['寡肽ABC转运蛋白，周质寡肽结合蛋白', '甘露糖苷ABC转运系统，糖结合蛋白']
P75914	['3.1.3.-', '可能磷酸酶YcdX']
Q7DC80	['吩嗪生物合成蛋白PhzD', 'phzD2']
O34714	['伊夫克', '草酸脱羧酶', '4.1.1.2']
P16544	['1.3.1.-', '推测的酮酰还原酶']
Q9NQX3	['KIAA1385', 'GPH', '盖菲林']
Q81F54	['乙二醛酶家族蛋白']
Q06700	['羧基转移酶', '4.1.1.70', '谷胱甘肽辅酶A脱羧酶亚单位α']
Q9WXS0	['转录调节因子，IclR家族']
P77872	['1.11.1.6', '过氧化氢酶']
Q9X0F9	['推测的L-鼠李糖变位酶', '非特征蛋白质']
O31465	['3.5.1.2', 'glsA', 'ybgJ', '谷氨酰胺酶1']
P77454	['3.5.1.2', '伊巴斯', '谷氨酰胺酶1']
P30749	['钼蝶呤合酶催化亚基', '2.8.1.12', '叶绿素5', '钼蝶呤转换因子大亚基', 'MPT合酶亚基2', '钼辅因子生物合成蛋白E', '钼蝶呤转换因子亚基2']
Q9X0L5	['假定转氨酶']
Q9Z4N6	['铁ABC转运体底物结合蛋白', '铁结合蛋白', '周质铁结合蛋白A FbpA']
Q5SHZ4	['DNA回旋酶B亚单位', '5.99.1.3']
Q46891	['推测的羟丙酮酸异构酶YgbM', '5.3.1.22', '乙醛酸诱导蛋白YgbM']
Q59643	['δ-氨基乙酰丙酸脱水酶', '疏孔素原合酶', '4.2.1.24', '阿拉德']
P0A6D3	['3-磷莽草酸1-羧乙烯基转移酶', 'EPSPS', 'EPSP合酶', '2.5.1.19', '5-烯醇丙酮酸莽草酸-3-磷酸合酶']
P00780	['中的枯草菌溶素', '3.4.21.62']
P0A6K3	['PDF', 'fms', '3.5.1.88', '多肽去甲酰化酶', '肽去甲酰化酶']
P05041	['4-氨基-4-脱氧胆酸合酶组分1', 'ADC合成酶', '氨基脱氧胆酸合酶组分1', '2.6.1.85']
Q7Z406	['非肌肉肌球蛋白重链IIc', 'KIAA2034', '肌球蛋白-14', 'NMHC II-C', '肌球蛋白重链14', '肌球蛋白重链，非肌肉IIc']
Q09013	['DMPK', 'DMK', 'MT-PK', 'DM1PK', 'DM激酶', '2.7.11.1', 'MDPK', 'DM1蛋白激酶', '肌张力素蛋白激酶', '强直性肌营养不良蛋白激酶']
O25323	['核酸内切酶III']
Q9UKM7	['甘露糖苷酶α1B类成员1', 'ERMan1', '甘露糖苷酶1', 'ERα-1,2-甘露糖苷酶', '内质网甘露糖基低聚糖1,2-α-甘露糖苷酶', 'Man9GlcNAc2特异性加工α-甘露糖苷酶', '3.2.1.113']
P45124	['核糖体小亚基假尿苷合酶A', 'rRNA尿苷异构酶A', 'rRNA假尿苷酸合酶A', '5.4.99.19', '16S rRNA假尿苷（516）合酶', '16S假尿苷酸516合酶']
P0C0T5	['DD内肽酶', 'D-丙氨酰-D-丙氨酸内肽酶', '3.4.24.-', '青霉素不敏感的murein内肽酶']
P37610	['α-酮戊二酸依赖牛磺酸双加氧酶', 'SSI3', '雅格', '2-氨基乙磺酸双加氧酶', 'ssiD', '1.14.11.17', '硫酸盐饥饿诱导蛋白3']
P54965	['3.5.1.24', 'CBAH', '胆盐水解酶', '结合胆汁酸水解酶', '胆酰甘氨酸水解酶']
P9WNS5	['dUTP焦磷酸酶', 'dUTPase', "脱氧尿苷5'-三磷酸核苷酸水解酶", '3.6.1.23']
P06968	['3.6.1.23', "脱氧尿苷5'-三磷酸核苷酸水解酶", '软的', '脱氧核糖核酸', 'dUTP焦磷酸酶', 'dUTPase']
P07602	['格尔巴', 'SAP1', '前激活多肽', '鞘脂激活蛋白原']
Q83QN9	['细胞分裂蛋白ZipA']
P77173	['FtsZ相互作用蛋白A', '细胞分裂蛋白ZipA']
P43683	['绿脓杆菌素前体', '蓝胆鱼尾草素']
O75390	['柠檬酸合成酶，线粒体', '2.3.3.1', '柠檬酸（Si）-合酶']
Q88CZ6	['尿苷酸水合酶', '4.2.1.49', '咪唑啉酮丙酸水解酶', '尿激酶']
Q16774	['鸟苷酸激酶', 'GMP激酶', '2.7.4.8', 'GMK']
Q9A5I5	['柄细胞分化控制蛋白', '响应调节器PleD']
Q38087	['Gp43', 'DNA聚合酶', '2.7.7.7']
P36959	['GMPR1', '鸟苷单磷酸还原酶1', "鸟苷酸5'-单磷酸氧化还原酶1", '1.7.1.7', 'GMPR 1', 'GMP还原酶1']
P41007	['双功能蛋白', '2.4.2.9', '上升酶']
P00497	['GPATase', '腺苷转移酶', '酰胺磷酸核糖转移酶', '2.4.2.14', '谷氨酰胺磷酸核糖焦磷酸酰胺转移酶']
P0A9M5	['XGPRT', '黄嘌呤磷酸核糖转移酶', 'gxu', '黄嘌呤鸟嘌呤磷酸核糖转移酶', '2.4.2.22', 'gpp']
Q05599	['腺苷钴酰胺磷酸鸟苷基转移酶', '双功能腺苷钴胺素生物合成蛋白CobU', '腺苷钴酰胺激酶']
P0AG16	['GPATase', '腺苷转移酶', '酰胺磷酸核糖转移酶', '2.4.2.14', '谷氨酰胺磷酸核糖焦磷酸酰胺转移酶']
P29600	['3.4.21.62', '枯草杆菌蛋白酶', '碱性蛋白酶']
P0A115	['3.1.1.45', 'DLH', '羧亚甲基丁烯醇酸酶', '双烯内酯水解酶']
P16753	['衣壳蛋白P40', '衣壳支架蛋白', '蛋白酶前体', 'APNG', 'pPR']
P27693	['3.4.21.-', '碱性蛋白酶']
P83844	['ADPR-PPase', '腺苷二磷酸核糖焦磷酸酶', 'ADP核糖磷酸水解酶', '阿斯帕酶', 'ADP核糖二磷酸酶', '3.6.1.13', 'aspP', 'ADP核糖焦磷酸酶']
O33199	['MutT\\/nudix家族蛋白']
Q01693	['3.4.11.10', '细菌亮氨酸氨基肽酶']
Q9F5I8	['3.2.1.157', 'Iota卡拉胶酶']
Q9KWT6	['AlgQ1']
Q9KWT5	['AlgQ2']
Q05581	['CAS1', '1.14.11.21', '克拉维酸合酶1', '克拉维酸合酶1', 'CS1']
P0AFG8	['1.2.4.1', 'PDH元件E1', '丙酮酸脱氢酶E1组分']
P23234	['4.1.1.74', '吲哚丙酮酸脱羧酶', '吲哚-3-丙酮酸脱羧酶']
