P00734	['Prothrombin', '3.4.21.5', 'Coagulation factor II']
P15879	['2.4.2.-', 'Mono-ADP-ribosyltransferase C3', 'Exoenzyme C3']
P00959	['Methionine--tRNA ligase', 'Methionyl-tRNA synthetase', '6.1.1.10', 'MetRS']
P08581	['HGF/SF receptor', '2.7.10.1', 'Scatter factor receptor', 'HGF receptor', 'SF receptor', 'Proto-oncogene c-Met', 'Tyrosine-protein kinase Met', 'Hepatocyte growth factor receptor']
Q02750	['PRKMK1', 'MAP kinase kinase 1', 'MAPK/ERK kinase 1', '2.7.12.2', 'MEK1', 'MEK 1', 'Dual specificity mitogen-activated protein kinase kinase 1', 'ERK activator kinase 1']
P77150	['Pyridoxamine kinase', '2.7.1.35', 'ydgS', 'PM kinase']
P19080	['Chorismate mutase AroH', '5.4.99.5', 'CM']
Q9RRU8	['AI-2 synthesis protein', '4.4.1.21', 'S-ribosylhomocysteine lyase', 'Autoinducer-2 production protein LuxS']
Q57366	['Dimethyl sulfoxide/trimethylamine N-oxide reductase', 'dsrA', '1.7.2.3', 'DMSO reductase']
P32119	['Thioredoxin-dependent peroxide reductase 1', 'NKEF-B', 'Thioredoxin peroxidase 1', 'Thiol-specific antioxidant protein', '1.11.1.15', 'PRP', 'Natural killer cell-enhancing factor B', 'NKEFB', 'TDPX1', 'TSA', 'Peroxiredoxin-2']
Q8NX78	['pdf1', 'def1', 'PDF', '3.5.1.88', 'Polypeptide deformylase', 'Peptide deformylase']
Q9ZIV5	['Malonamidase E2']
Q9FD87	['HMG-CoA synthase']
P84124	['Osmotically inducible protein C']
P52699	['Beta-lactamase IMP-1', 'Penicillinase', 'BLAIMP', 'Beta-lactamase type II', '3.5.2.6']
Q79MP6	['Beta-lactamase', 'blaESP', 'imp', 'bla-imp', '3.5.2.6', 'bla IMP']
P39126	['IDH', 'NADP(+)-specific ICDH', 'IDP', 'Isocitrate dehydrogenase [NADP]', '1.1.1.42', 'Oxalosuccinate decarboxylase', 'citC']
Q9UJM8	['Hydroxyacid oxidase 1', 'Glycolate oxidase', 'GOX', '1.1.3.15', 'HAOX1', 'GOX1']
P36873	['Protein phosphatase 1C catalytic subunit', '3.1.3.16', 'Serine/threonine-protein phosphatase PP1-gamma catalytic subunit', 'PP-1G']
P12070	['Xylose isomerase', '5.3.1.5']
P56868	['Glutamate racemase', '5.1.1.3']
O07015	['Sigma factor SigB regulation protein RsbQ', 'yvfQ']
P0A793	['Aspartate 1-decarboxylase', '4.1.1.11', 'Aspartate alpha-decarboxylase']
Q9FCA6	['1.14.21.7', 'Cytochrome P450 158A2', 'Biflaviolin synthase CYP158A2', 'CYP158A2']
P09012	['U1 snRNP A', 'U1 small nuclear ribonucleoprotein A']
P30418	['2.3.1.97', 'Glycylpeptide N-tetradecanoyltransferase', 'NMT', 'Peptide N-myristoyltransferase', 'Myristoyl-CoA:protein N-myristoyltransferase']
O60551	['2.3.1.97', 'Type II N-myristoyltransferase', 'Glycylpeptide N-tetradecanoyltransferase 2', 'Myristoyl-CoA:protein N-myristoyltransferase 2', 'NMT 2', 'Peptide N-myristoyltransferase 2']
P07071	['49.1', '55.11/55.13', '1.17.4.2', 'Anaerobic ribonucleoside-triphosphate reductase', 'SUNY']
P0ABE7	['Soluble cytochrome b562', 'Cytochrome b-562']
Q6UWM7	['KLPH', 'Lactase-like protein', 'Klotho/lactase-phlorizin hydrolase-related protein']
P04053	['Terminal transferase', 'DNA nucleotidylexotransferase', 'TDT', '2.7.7.31', 'Terminal deoxynucleotidyltransferase', 'Terminal addition enzyme']
Q9UBQ6	['EXT-related protein 2', 'Alpha-1,4-N-acetylhexosaminyltransferase EXTL2', 'Alpha-GalNAcT EXTL2', '2.4.1.223', 'EXTR2', 'Exostosin-like 2', 'Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase']
Q16222	['UDP-N-acetylhexosamine pyrophosphorylase', 'SPAG2', 'AGX', 'Antigen X', 'Sperm-associated antigen 2']
P27828	['UDP-N-acetylglucosamine 2-epimerase', 'rffE', '5.1.3.14', 'UDP-GlcNAc-2-epimerase', 'yifF', 'Bacteriophage N4 adsorption protein C', 'nfrC']
P16442	['Fucosylglycoprotein 3-alpha-galactosyltransferase', 'Histo-blood group A transferase', 'Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase', 'Histo-blood group ABO system transferase', 'Glycoprotein-fucosylgalactoside alpha-galactosyltransferase', 'Histo-blood group B transferase', 'B transferase', 'NAGAT', 'A transferase', 'Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase']
P17443	['2.4.1.227', 'Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase', 'UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase']
Q84FH6	['Chorismate mutase AroH', '5.4.99.5', 'aroG']
Q99470	['Stromal cell-derived factor 2', 'SDF-2']
P22513	['Glyceraldehyde-3-phosphate dehydrogenase, glycosomal', '1.2.1.12', 'GAPDH']
P0A794	["Pyridoxine 5'-phosphate synthase", 'PNP synthase', '2.6.99.2']
Q820S6	['Chain A, Red Copper Protein Nitrosocyanin']
P01112	['p21ras', 'GTPase HRas', 'Ha-Ras', 'Transforming protein p21', 'H-Ras-1', 'HRAS1', 'c-H-ras']
Q56313	['3.6.4.12', 'Holliday junction ATP-dependent DNA helicase RuvB']
P32890	['ltpB', 'LT-B, porcine', 'LTP-B', 'Heat-labile enterotoxin B chain']
P01556	['Choleragenoid', 'toxB', 'Cholera enterotoxin B chain', 'Cholera enterotoxin gamma chain', 'Cholera enterotoxin subunit B']
O66529	['6,7-dimethyl-8-ribityllumazine synthase', '2.5.1.78', 'DMRL synthase']
P07339	['Cathepsin D', '3.4.23.5', 'CPSD']
Q9NPB1	['DNT2', "5'(3')-deoxyribonucleotidase, mitochondrial", '3.1.3.-', "5',3'-nucleotidase, mitochondrial", 'dNT-2', "Deoxy-5'-nucleotidase 2"]
O82839	['Amylase']
P09598	['Phosphatidylcholine cholinephosphohydrolase', 'Cereolysin A', '3.1.4.3', 'Phospholipase C', 'PLC']
P07773	['Catechol 1,2-dioxygenase', '1,2-CTD', '1.13.11.1']
P06608	['L-ASNase', 'L-asparaginase', '3.5.1.1', 'L-asparagine amidohydrolase', 'asn']
P0A094	['SANOS', 'Nitric oxide synthase oxygenase', '1.14.13.165', 'NOSoxy-like protein']
Q93UV9	['Protease']
P29422	['1.11.1.6', 'Catalase']
P33221	['GAR transformylase 2', 'GART 2', 'Formate-dependent GAR transformylase', "5'-phosphoribosylglycinamide transformylase 2", '2.1.2.-', 'Phosphoribosylglycinamide formyltransferase 2']
P08179	['GART', "5'-phosphoribosylglycinamide transformylase", 'GAR transformylase', '2.1.2.2', 'Phosphoribosylglycinamide formyltransferase']
P13507	['Maltotetraose-forming exo-amylase', 'Maltotetraose-forming amylase', '3.2.1.60', 'Glucan 1,4-alpha-maltotetraohydrolase', 'Exo-maltotetraohydrolase', 'G4-amylase']
Q08751	['Neopullulanase 2', 'TVA II', '3.2.1.135', 'Alpha-amylase II']
P28593	['Trypanothione reductase', 'N(1),N(8)-bis(glutathionyl)spermidine reductase', '1.8.1.12', 'TR']
P29208	['o-succinylbenzoate synthase', 'o-succinylbenzoic acid synthase', '4.2.1.113', "4-(2'-carboxyphenyl)-4-oxybutyric acid synthase", 'OSB synthase']
Q47Q21	['o-succinylbenzoate synthase', 'o-succinylbenzoic acid synthase', '4.2.1.113', "4-(2'-carboxyphenyl)-4-oxybutyric acid synthase", 'OSB synthase']
P74334	['Diox1', "Apocarotenoid-15,15'-oxygenase", "8'-apo-beta-carotenal 15,15'-oxygenase", 'ACO']
P16112	['Chondroitin sulfate proteoglycan 1', 'CSPG1', 'Aggrecan core protein', 'AGC1', 'MSK16', 'CSPCP', 'Cartilage-specific proteoglycan core protein', 'Chondroitin sulfate proteoglycan core protein 1']
P13376	['PGI-B', 'PHI-B', 'Phosphoglucose isomerase B', 'Glucose-6-phosphate isomerase B', '5.3.1.9', 'Phosphohexose isomerase B', 'GPI B']
P0ACB2	['ncf', 'ALAD', 'Delta-aminolevulinic acid dehydratase', 'Porphobilinogen synthase', '4.2.1.24']
P17900	['GM2-AP', 'Cerebroside sulfate activator protein', 'SAP-3', 'Sphingolipid activator protein 3', 'Ganglioside GM2 activator']
P25105	['PAFR', 'PAF-R', 'Platelet-activating factor receptor']
Q53ZE5	['1.3.98.1', 'Dihydroorotate dehydrogenase A (fumarate)', 'DHOD A']
P00362	['NAD-dependent glyceraldehyde-3-phosphate dehydrogenase', 'Glyceraldehyde-3-phosphate dehydrogenase', '1.2.1.12', 'GAPDH']
Q59931	['Glyceraldehyde-3-phosphate dehydrogenase [NADP(+)]', 'Non-phosphorylating glyceraldehyde 3-phosphate dehydrogenase', '1.2.1.9', 'NADP-dependent glyceraldehyde-3-phosphate dehydrogenase', 'Triosephosphate dehydrogenase']
P0A9B2	['GAPDH-A', '1.2.1.12', 'Glyceraldehyde-3-phosphate dehydrogenase A', 'NAD-dependent glyceraldehyde-3-phosphate dehydrogenase']
P68638	['VCP', '28 kDa protein', 'Protein C3', 'Complement control protein C3', 'Secretory protein 35']
P04958	['3.4.24.68', 'Tetanus toxin', 'Tentoxylysin']
P59846	['Citrulline--aspartate ligase', '6.3.4.5', 'Argininosuccinate synthase']
P06820	['Neuraminidase', '3.2.1.18']
P22939	['Farnesyl diphosphate synthase', 'FPP synthase', 'Geranyltranstransferase', '2.5.1.10', '(2E,6E)-farnesyl diphosphate synthase']
P58758	['Trans-zeatin producing protein', '2.5.1.27', 'Adenylate dimethylallyltransferase', 'Dimethylallyl transferase', 'Isopentenyl transferase']
P16384	['trpX', 'IPP transferase', 'IPPT', 'tRNA dimethylallyltransferase', 'Isopentenyl-diphosphate:tRNA isopentenyltransferase', '2.5.1.75', 'DMATase', 'DMAPP:tRNA dimethylallyltransferase', 'IPTase', 'Dimethylallyl diphosphate:tRNA dimethylallyltransferase']
P12995	['Diaminopelargonic acid synthase', '7,8-diaminononanoate synthase', 'DAPA aminotransferase', 'Adenosylmethionine-8-amino-7-oxononanoate aminotransferase', 'DANS', 'DAPA AT', '7,8-diamino-pelargonic acid aminotransferase', '2.6.1.62']
P43777	['HPPK', '7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase', 'PPPK', '2.7.6.3', '6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase', '2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase']
P20906	['Benzoylformate decarboxylase', 'BFD', '4.1.1.7']
P11444	['5.1.2.2', 'Mandelate racemase', 'MR']
P46828	['Glucose-resistance amylase regulator', 'Catabolite control protein A', 'Catabolite control protein']
P51691	['Aryl-sulfate sulphohydrolase', '3.1.6.1', 'AS', 'Arylsulfatase']
P08842	['Steryl-sulfatase', 'Steroid sulfatase', 'ARSC1', 'Arylsulfatase C', 'ASC', 'Steryl-sulfate sulfohydrolase', '3.1.6.2']
P22459	['HPCN2', 'Voltage-gated potassium channel subunit Kv1.4', 'Voltage-gated potassium channel HK1', 'Voltage-gated K(+) channel HuKII', 'Potassium voltage-gated channel subfamily A member 4', 'Voltage-gated potassium channel HBK4', 'KCNA4L']
P15925	['Tetrahydrofolate synthase', 'FPGS', '6.3.2.17', 'Folylpoly-gamma-glutamate synthetase', 'Tetrahydrofolylpolyglutamate synthase', 'Folylpolyglutamate synthase']
Q12882	['Dihydropyrimidine dehydrogenase [NADP(+)]', '1.3.1.2', 'Dihydrothymine dehydrogenase', 'DHPDHase', 'Dihydrouracil dehydrogenase']
Q9UKL6	['StAR-related lipid transfer protein 2', 'Phosphatidylcholine transfer protein', 'STARD2', 'START domain-containing protein 2', 'PC-TP']
P14756	['Elastase', 'Pseudolysin', 'Neutral metalloproteinase', 'PAE', '3.4.24.26']
P35030	['Trypsin IV', 'Brain trypsinogen', 'Trypsin-3', 'PRSS4', 'TRY3', 'Serine protease 4', 'TRY4', 'Mesotrypsinogen', 'Serine protease 3', '3.4.21.4', 'Trypsin III']
P11546	['PBG', '6-phospho-beta-galactosidase', 'P-beta-Gal', '3.2.1.85', 'Beta-D-phosphogalactoside galactohydrolase', 'PGALase']
P04936	['3.4.22.29', 'Genome polyprotein', 'P2A']
P22188	['UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase', '6.3.2.13', 'UDP-N-acetylmuramyl-tripeptide synthetase', 'UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase', 'UDP-MurNAc-tripeptide synthetase', 'Meso-diaminopimelate-adding enzyme', 'Meso-A2pm-adding enzyme']
O00408	['3.1.4.17', 'cGSPDE', "cGMP-dependent 3',5'-cyclic phosphodiesterase", 'CGS-PDE', 'Cyclic GMP-stimulated phosphodiesterase']
Q9UL51	['Brain cyclic nucleotide-gated channel 2', 'Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2', 'BCNG-2', 'BCNG2']
Q46856	['1.1.1.-', 'Alcohol dehydrogenase YqhD']
O34667	['S-ribosylhomocysteine lyase', 'ytjB', 'Autoinducer-2 production protein LuxS', 'AI-2 synthesis protein', '4.4.1.21']
P13501	['D17S136E', 'SCYA5', 'T-cell-specific protein RANTES', 'Eosinophil chemotactic cytokine', 'Small-inducible cytokine A5', 'TCP228', 'SIS-delta', 'EoCP', 'T cell-specific protein P228', 'C-C motif chemokine 5']
Q65CX5	['Galactanase', 'Arabinogalactan endo-beta-1,4-galactanase', 'Endo-1,4-beta-galactanase', '3.2.1.89', 'yvfO', 'galA']
Q9RME2	['2.6.1.52', 'Phosphohydroxythreonine aminotransferase', 'PSAT', 'Phosphoserine aminotransferase']
P19992	['1.1.1.53', '3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase']
P26663	['Genome polyprotein', '3.4.22.-', 'p23']
P12676	['Cholesterol isomerase', '1.1.3.6', 'Cholesterol oxidase', 'CHOD']
Q02169	['Septum formation protein Maf']
P28248	['dus', 'paxA', '3.5.4.13', 'dCTP deaminase', 'Deoxycytidine triphosphate deaminase']
Q97E82	['3.1.3.71', 'Probable 2-phosphosulfolactate phosphatase']
P11411	['G6PD', 'Glucose-6-phosphate 1-dehydrogenase', '1.1.1.49']
Q01782	['1.5.1.33', 'HMTXR', 'Pteridine reductase 1', 'H region methotrexate resistance protein']
Q07982	['Glucose--fructose oxidoreductase', '1.1.99.28', 'GFOR']
P00488	['Protein-glutamine gamma-glutamyltransferase A chain', 'Coagulation factor XIII A chain', 'Coagulation factor XIIIa', '2.3.2.13', 'Transglutaminase A chain', 'F13A']
P04798	['Cytochrome P450-C', 'Cytochrome P450-P1', 'Cytochrome P450 form 6', '1.14.14.1', 'CYPIA1', 'Cytochrome P450 1A1']
P83788	['Kynureninase', '3.7.1.3', 'L-kynurenine hydrolase']
Q8Y7N7	['racE', 'Glutamate racemase', '5.1.1.3']
P49913	['CAP18', '18 kDa cationic antimicrobial protein', 'Cathelicidin antimicrobial peptide', 'hCAP-18', 'FALL39', 'CAP-18']
P07658	['Formate-hydrogen-lyase-linked, selenocysteine-containing polypeptide', 'FDH-H', '1.1.99.33', 'Formate dehydrogenase H', 'Formate dehydrogenase-H subunit alpha']
P77444	['ynhB', 'Selenocysteine beta-lyase', 'Selenocysteine lyase', 'Selenocysteine reductase', 'csdB', '2.8.1.7', 'Cysteine desulfurase', 'SCL']
Q55793	['Probable cysteine desulfurase', 'sufS', '2.8.1.7']
O32393	['Adenylate cyclase', 'EC 4.6.1.1']
P08311	['CG', 'Cathepsin G', '3.4.21.20']
P43876	['1.1.1.25', 'Shikimate dehydrogenase (NADP(+))', 'SDH']
P0ADA1	['Protease I', 'Lysophospholipase L1', '3.1.2.-', 'apeA', 'Acyl-CoA thioesterase I', 'pldC', 'Lecithinase B']
P02941	['Aspartate chemoreceptor protein', 'Methyl-accepting chemotaxis protein II', 'cheM', 'MCP-II']
Q8P8J2	['AOTCase', 'N-acetylornithine carbamoyltransferase', '2.1.3.9']
Q9X1K9	['HTPA synthase', '4.3.3.7', '4-hydroxy-tetrahydrodipicolinate synthase']
P49789	['AP3Aase', "Diadenosine 5',5'''-P1,P3-triphosphate hydrolase", 'Dinucleosidetriphosphatase', 'AP3A hydrolase', 'Fragile histidine triad protein', "Bis(5'-adenosyl)-triphosphatase", '3.6.1.29']
P23458	['Janus kinase 1', 'JAK1B', '2.7.10.2', 'JAK1A', 'JAK-1', 'Tyrosine-protein kinase JAK1']
P09848	['Lactase-glycosylceramidase', 'LPH', 'Lactase-phlorizin hydrolase']
Q9X1T2	['Purine nucleoside phosphorylase', 'Inosine-guanosine phosphorylase', '2.4.2.1']
P30793	['GTP-CH-I', 'GTP cyclohydrolase I', 'GTP cyclohydrolase 1', '3.5.4.16', 'DYT5', 'GCH']
P56817	['Beta-site APP cleaving enzyme 1', 'Memapsin-2', 'Aspartyl protease 2', 'Beta-secretase 1', 'Beta-site amyloid precursor protein cleaving enzyme 1', 'KIAA1149', '3.4.23.46', 'BACE', 'Asp 2', 'ASP2', 'Membrane-associated aspartic protease 2']
P15587	['Xylose isomerase', '5.3.1.5']
P35557	['HK4', 'Hexokinase type IV', 'Glucokinase', 'Hexokinase-D', 'Hexokinase-4', '2.7.1.2', 'HK IV']
Q9ZB17	['5.1.3.3', 'Aldose 1-epimerase', 'Galactose mutarotase']
P0A6V8	['Glucokinase', '2.7.1.2', 'Glucose kinase']
Q9HYN5	['Fucose-binding lectin PA-IIL']
Q9KG76	['BH0236 protein']
Q9WXN1	['Laminarinase']
Q8GJ44	['Xyn11A', 'Xylanase 11A', '1,4-beta-D-xylan xylanohydrolase A', 'Endo-1,4-beta-xylanase A', '3.2.1.8']
O07653	['Cellulase B']
P14090	['Endo-1,4-beta-glucanase C', 'Endoglucanase C', 'Cellulase C', '3.2.1.4']
P0C2S5	['Exocellulase', 'Endo-1,4-beta-glucanase', 'Cellobiohydrolase CelS', 'EGSS', 'Cellulase SS', 'Endoglucanase SS', 'Cellulose 1,4-beta-cellobiosidase (reducing end) CelS', '3.2.1.176']
P0AEE5	['D-galactose/ D-glucose-binding protein', 'GBP', 'D-galactose-binding periplasmic protein', 'GGBP']
P46926	['GNPI', 'Oscillin', '3.5.99.6', 'GNPDA 1', 'Glucosamine-6-phosphate deaminase 1', 'GlcN6P deaminase 1', 'HLN', 'KIAA0060', 'Glucosamine-6-phosphate isomerase 1']
P36924	['3.2.1.2', '1,4-alpha-D-glucan maltohydrolase', 'Beta-amylase']
Q9BW91	['Nudix motif 9', 'ADPR-PPase', 'Adenosine diphosphoribose pyrophosphatase', 'ADP-ribose phosphohydrolase', 'ADP-ribose diphosphatase', '3.6.1.13', 'NUDT10', 'ADP-ribose pyrophosphatase, mitochondrial', 'Nucleoside diphosphate-linked moiety X motif 9']
O60264	['hSNF2H', 'SNF2H', 'SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5', 'WCRF135', '3.6.4.-', 'SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5', 'Sucrose nonfermenting protein 2 homolog']
P26827	['Cyclodextrin-glycosyltransferase', 'CGTase', 'Cyclomaltodextrin glucanotransferase', '2.4.1.19']
P01552	['Enterotoxin type B', 'SEB']
P04745	['1,4-alpha-D-glucan glucanohydrolase 1', 'Alpha-amylase 1', 'AMY1', 'Salivary alpha-amylase', '3.2.1.1']
P00490	['2.4.1.1', 'Maltodextrin phosphorylase']
P69178	['SLT-1 B subunit', 'Verotoxin 1 subunit B', 'Shiga-like toxin 1 subunit B', 'Verocytotoxin 1 subunit B']
O14594	['CSPG3', 'NEUR', 'Chondroitin sulfate proteoglycan 3', 'Neurocan core protein']
P23904	['Lichenase', 'Beta-glucanase', 'Endo-beta-1,3-1,4 glucanase', '1,3-1,4-beta-D-glucan 4-glucanohydrolase', '3.2.1.73']
P13650	['Soluble glucose dehydrogenase', 'Quinoprotein glucose dehydrogenase B', 'Glucose dehydrogenase B [pyrroloquinoline-quinone]', 's-GDH', '1.1.5.2']
P00692	['3.2.1.1', 'Alpha-amylase', '1,4-alpha-D-glucan glucanohydrolase']
P29957	['3.2.1.1', 'Alpha-amylase', '1,4-alpha-D-glucan glucanohydrolase']
Q54331	['Cellulase B']
P0AC38	['Aspartase', '4.3.1.1', 'Aspartate ammonia-lyase']
Q9ZEU2	['2.4.1.4', 'Amylosucrase']
O34974	['ytnJ', '1.14.-.-', 'Putative monooxygenase MoxC']
P54583	['Endoglucanase E1', '3.2.1.4', 'Endocellulase E1', 'Cellulase E1', 'Endo-1,4-beta-glucanase E1']
P23905	['D-galactose/ D-glucose-binding protein', 'GBP', 'D-galactose-binding periplasmic protein', 'GGBP']
P23827	['Ecotin', 'eti']
Q701N4	['KAP5-8', 'Keratin-associated protein 5-8', 'KRTAP5-8', 'KRTAP5.2', 'KAP5.2', 'Keratin-associated protein 5.8', 'KRTAP5.8', 'Keratin-associated protein 5.2', 'Keratin-associated protein 5-2', 'Ultrahigh sulfur keratin-associated protein 5.2']
Q9BZZ2	['Sialic acid-binding Ig-like lectin 1', 'SN', 'Siglec-1', 'Sialoadhesin']
P38940	['3.2.1.135', 'Neopullulanase']
Q60037	['Endo-1,4-beta-xylanase A', '3.2.1.8', '1,4-beta-D-xylan xylanohydrolase A', 'Xylanase A']
P26466	['Maltose-inducible porin', 'malL', 'Maltoporin']
Q26609	['Hexokinase', '2.7.1.1']
P40943	['Xylanase', '3.2.1.8', 'Endo-1,4-beta-xylanase', '1,4-beta-D-xylan xylanohydrolase']
P02943	['Lambda receptor protein', 'Maltose-inducible porin', 'malB', 'Maltoporin']
P05162	['Galectin-2', 'S-Lac lectin 2', 'HL14', 'Beta-galactoside-binding lectin L-14-II', 'Lactose-binding lectin 2', 'Gal-2']
Q9RX51	['MTHase', '3.2.1.141', 'Maltooligosyl trehalose trehalohydrolase', '4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase', 'Malto-oligosyltrehalose trehalohydrolase']
Q7WT42	['Inorganic polyphosphate/ATP-glucomannokinase']
Q48436	['1.1.1.304', 'Meso-2,3-butanediol dehydrogenase', 'Diacetyl reductase [(S)-acetoin forming]', 'Acetoin(diacetyl) reductase', 'AR']
P49302	['Capsid protein VP1']
Q7SI98	['3.2.1.8', 'Beta-xylanase']
P47929	['HKL-14', 'Galectin-7', 'PIG1', 'Gal-7', 'p53-induced gene 1 protein', 'PI7']
Q6L8H2	['KRTAP5.9', 'KAP5.3', 'KAP5-9', 'Ultrahigh sulfur keratin-associated protein 5.3', 'Keratin-associated protein 5.9', 'KRTAP5.3', 'KRTAP5-9', 'Keratin-associated protein 5.3', 'Keratin-associated protein 5-9', 'Keratin-associated protein 5-3', 'UHS KerB-like']
P23340	['Endo-1,4-beta-glucanase C307', 'Cellulase C307', 'Endoglucanase C307', '3.2.1.4']
P94622	['EC 3.2.1.4', 'Endo-1,4-beta glucanase EngF']
P26221	['Endoglucanase E-4', '3.2.1.4', 'Endo-1,4-beta-glucanase E-4', 'Cellulase E-4', 'Cellulase E4']
Q47644	['orf', 'SLT-IIeB', 'Shiga-like toxin IIe variant subunit B', 'Orf protein', 'stxB2e', 'Verotoxin 2e subunit B', 'Slt-IIvB', 'Shiga toxin 2B subunit', 'stx2e B', 'Shiga-like toxin 2B-subunit', 'Shiga toxin 2 variant e B-subunit', 'Shiga toxin 2e B', 'Shiga toxin 2e subunit B']
P12528	['TSP', 'gp9', 'Endorhamnosidase', 'Endo-1,3-alpha-L-rhamnosidase', 'Tail fiber protein', '3.2.1.-', 'Gene product 9', 'Tail spike protein']
P35247	['COLEC7', 'SFTP4', 'PSP-D', 'Collectin-7', 'PSPD', 'Lung surfactant protein D', 'Pulmonary surfactant-associated protein D']
P01574	['IFB', 'IFNB', 'Interferon beta', 'IFN-beta', 'Fibroblast interferon']
P0AEX9	['Maltose-binding periplasmic protein', 'MMBP', 'Maltodextrin-binding protein', 'MBP']
P0C2S2	['EGA', 'Endoglucanase A', 'Endo-1,4-beta-glucanase', '3.2.1.4', 'Cellulase A']
P14550	['ALR', '1.1.1.2', 'Aldo-keto reductase family 1 member A1', 'Alcohol dehydrogenase [NADP(+)]', 'ALDR1', 'Aldehyde reductase']
P31992	['ydcE', 'Tautomerase PptA', '5.3.2.-']
P28838	['LAP-3', 'Proline aminopeptidase', 'LAPEP', 'Leucine aminopeptidase 3', '3.4.11.1', 'Cytosol aminopeptidase', 'Leucyl aminopeptidase', 'Peptidase S', 'PEPS', 'Prolyl aminopeptidase']
P16118	['PFRX', '6PF-2-K/Fru-2,6-P2ase 1', '6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1', '6PF-2-K/Fru-2,6-P2ase liver isozyme', 'F6PK']
P32170	['L-rhamnose isomerase', '5.3.1.14']
P09466	['Pregnancy-associated endometrial alpha-2 globulin', 'Progesterone-associated endometrial protein', 'Glycodelin', 'PAEG', 'PEG', 'PP14', 'Progestagen-associated endometrial protein', 'GD', 'Placental protein 14']
P96965	['2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase']
P03369	['Gag-Pol polyprotein', 'Pr160Gag-Pol']
Q04095	['RT-beta', 'Gag-Pro-Pol polyprotein', '3.4.23.-']
P11797	['3.2.1.14', 'Chitinase B']
P17315	['Colicin I receptor', 'feuA', 'cir']
Q9K597	['Outer membrane porin C', 'Membrane protein', 'Outer membrane protein C', 'Uncharacterized protein']
P62837	['UBCH5B', 'UBC5B', '2.3.2.23', 'Ubiquitin-conjugating enzyme E2 D2', 'Ubiquitin carrier protein D2', 'UBCH4', 'UBC4', 'Ubiquitin-protein ligase D2', '(E3-independent) E2 ubiquitin-conjugating enzyme D2', 'Ubiquitin-conjugating enzyme E2-17 kDa 2', 'E2 ubiquitin-conjugating enzyme D2', 'Ubiquitin-conjugating enzyme E2(17)KB 2', 'PUBC1', 'p53-regulated ubiquitin-conjugating enzyme 1']
P08238	['HSP 90', 'Heat shock 84 kDa', 'HSP 84', 'HSP90B', 'HSP84', 'HSPC2', 'HSPCB', 'Heat shock protein HSP 90-beta']
P9WMC1	['HTH-type transcriptional regulator EthR', 'etaR']
P04584	['Gag-Pol polyprotein', 'Pr160Gag-Pol']
P36673	['HTH-type transcriptional regulator TreR', 'Trehalose operon repressor']
Q7SIB1	['tRNA adenylyl-/cytidylyl- transferase', 'tRNA CCA-pyrophosphorylase', '2.7.7.72', 'CCA-adding enzyme', 'tRNA nucleotidyltransferase', 'CCA tRNA nucleotidyltransferase', 'tRNA-NT']
P26396	['Glucose-1-phosphate cytidylyltransferase', '2.7.7.33', 'CDP-glucose pyrophosphorylase']
Q9X1B3	['2.7.7.60', 'MCT', '4-diphosphocytidyl-2C-methyl-D-erythritol synthase', '2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase', 'MEP cytidylyltransferase']
P27623	['CDP-glycerol pyrophosphorylase', 'Glycerol-3-phosphate cytidylyltransferase', '2.7.7.39', 'GCT', 'Teichoic acid biosynthesis protein D']
Q46893	['2.7.7.60', 'MCT', '4-diphosphocytidyl-2C-methyl-D-erythritol synthase', 'ygbP', '2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase', 'MEP cytidylyltransferase', 'CDP-ME synthase']
P42216	['3-deoxy-manno-octulosonate cytidylyltransferase', 'CMP-KDO synthase', 'CKS', 'CMP-2-keto-3-deoxyoctulosonic acid synthase', '2.7.7.38']
P0ABQ0	['dfp', 'DNA/pantothenate metabolism flavoprotein', 'Coenzyme A biosynthesis bifunctional protein CoaBC']
P39377	['yjiF', 'Isoaspartyl dipeptidase', '3.4.19.-']
P08192	['dedC', 'Bifunctional protein FolC']
P07944	['Beta-lactam-inducible penicillin-binding protein']
